Total Death,Crew Death,Passenger Death,Ground Death,Type,Incident[nb 8],Aircraft,Location,Phase,Date,Latitude,Longitude
202,14,182,7,COM,China Airlines Flight 676,Airbus A300-622R,"Dayuan, Taiwan, China",APR,16-Feb-98,26.73329926,105.625
141,10,131,0,COM,China Southern Airlines Flight 3943,Boeing 737-31B,"Hejiaqiao,ˇYanshan District, China",APR,24-Nov-92,27.40940094,113.3440018
167,12,155,0,COM,Pakistan International Airlines Flight 268,Airbus A300B4-200,"Kathmandu, Nepal",APR,28-Sep-92,27.69330025,85.32250214
148,13,135,0,COM,Flash Airlines Flight 604,Boeing 737-3Q8,"Red Sea, offˇSharm el-Sheikh, Egypt",ENR,3-Jan-04,27.86951065,34.30419159
155,7,148,0,COM,Spantax Flight 275,Convair 990,"San Crist¢bal, Tenerife, Canary Islands, Spain",ICL,3-Dec-72,28.07844,-15.41547
113,14,99,0,COM,Thai Airways International Flight 311,Airbus A310-304,"Langtang National Park, Nepal",ENR,31-Jul-92,28.16805077,85.54602051
583,23,560,0,COM,Pan Am Flight 1736 and,Boeing 747-121ˇandˇBoeing 747-206B,"Tenerife, Spain",TXI and TOF,27-Mar-77,28.26861191,-16.60555649
146,8,138,0,COM,Dan-Air Flight 1008,Boeing 727-46,"La Esperanza Forrest,ˇTenerife, Canary Islands, Spain",APR,25-Apr-80,28.53919983,-16.20299911
349,33,316,0,COM,Saudi Arabian Flight 763 and,Boeing 747-168BˇandˇIlyushin Il-76TD,"Charkhi Dadri, India",ENR,12-Nov-96,28.59449959,76.29019928
108,10,98,0,COM,China Southwest Airlines Flight 4146,Ilyushin Il-18D,"nearˇChongqing, China",APR,18-Jan-88,29.5509491,106.5193481
153,7,138,8,COM,Pan Am Flight 759,Boeing 727-235,"Kenner, Louisiana, US",ICL,9-Jul-82,29.99020004,-90.24198914
121,13,108,0,COM,Pakistan International Airlines Flight 705,Boeing 720-040B,"New Cairo, Egypt",APR,20-May-65,30.03000069,31.46999931
188,7,181,0,COM,Alia Royal Jordanian (JY-AEE),Boeing 707-321C,"Tamri, Morocco",ENR,3-Aug-75,30.70056915,-9.826359749
108,8,100,0,COM,China General Aviation Flight 7552,Yakovlev Yak-42D,"Nanjing, China",ICL,31-Jul-92,32.0497818,118.7659836
128,8,120,0,COM,Iran Air Flight 291,Boeing 727-86,"Alborz Mts., Iran",APR,21-Jan-80,32.5007782,54.2942009
119,12,107,0,COM,Iran Air Tours Flight 956,Tupolev Tu-154M,"nearˇSarab-e Dowreh, Iran",APR,12-Feb-02,32.5007782,54.2942009
159,12,147,0,COM,Libyan Arab Airlines Flight 1103 and,Boeing 727-2L5ˇandˇMikoyan-Gurevich MiG-23,"Qasr bin Ghashir, Tripoli, Libya",APR,22-Dec-92,32.68330002,13.18330002
131,6,125,0,COM,TAP Portugal Flight 425,Boeing 727-282Adv,"Santa Cruz, Portugal",LDG,19-Nov-77,32.68840027,-16.79000092
144,9,128,7,COM,PSA Flight 182 and,Boeing 727-214ˇandˇCessna 172,"San Diego, California, US",APR,25-Sep-78,32.71569061,-117.1617203
135,8,126,1,COM,Delta Air Lines Flight 191,Lockheed L-1011 TriStar,"Dallas-Fort Worth, Texas, US",APR,2-Aug-85,32.86582184,-97.03990936
103,11,92,0,COM,Afriqiyah Airways Flight 771,Airbus A330-202,"Tripoli, Libya",APR,12-May-10,32.87223816,13.19237041
126,11,115,0,COM,?SA Flight 542,Ilyushin Il-62,"Damascus, Syria",APR,20-Aug-75,33.5165596,36.31708145
159,8,151,0,COM,American Airlines Flight 965,Boeing 757-223,"nearˇBuga, Colombia",APR,20-Dec-95,33.54419,-82.26405
152,6,146,0,COM,Airblue Flight 202,Airbus A321-231,"Islamabad, Pakistan",APR,28-Jul-10,33.70767975,73.07047272
127,6,121,0,COM,Bhoja Air Flight 213,Boeing 737-236,"Islamabad, Pakistan",APR,20-Apr-12,33.70767975,73.07047272
160,14,146,0,COM,China Northwest Airlines Flight 2303,Tupolev Tu-154M,"Xian, China",ENR,6-Jun-94,34.26324844,108.9318314
104,8,96,0,COM,Kam Air Flight 904,Boeing 737-242,"Chaperi Ghar Mtn.,ˇPamir Mts., Afghanistan",ENR,3-Feb-05,34.546041,69.165809
126,9,117,0,COM,Globe Air (HB-ITB),Bristol Britannia 313,"Nicosia, Cyprus",APR,20-Apr-67,35.17298126,33.40114975
129,8,121,0,COM,Air China Flight 129,Boeing 767-2J6ER,"Busan, South Korea",APR,15-Apr-02,35.17792892,129.078476
264,15,249,0,COM,China Airlines Flight 140,Airbus A300B4-622R,"Komaki, Japan",APR,26-Apr-94,35.29234314,136.9168854
124,11,113,0,COM,BOAC Flight 911,Boeing 707-436,"Gotemba, Japan",ENR,5-Mar-66,35.29999924,138.9329987
133,7,126,0,COM,All Nippon Airways Flight 60,Boeing 727-81,"Tokyo Bay, Japan",APR,4-Feb-66,35.41666794,139.7833405
106,7,99,0,COM,Royal Air Maroc Caravelle (OO-SRD),Sud Aviation SE-210 Caravelle VIN,"Mt. Mellalyene,ˇTetouan, Morocco",ENR,22-Dec-73,35.54560852,-5.446615219
520,15,505,0,COM,Japan Airlines Flight 123,Boeing 747SR-46,"Ueno, Japan",ENR,12-Aug-85,35.71369934,139.7769928
168,12,156,0,COM,Caspian Airlines Flight 7908,Tupolev Tu-154M,"Qazvin, Iran",ENR,15-Jul-09,36.27970123,50.00490189
128,11,117,0,COM,United Airlines Flight 718 and,Douglas DC-7ˇandˇLockheed L-1049,"Grand Canyon, Arizona, US",ENR,30-Jun-56,36.29851532,-112.7921143
112,8,104,0,COM,Civil Aviation Administration of China Flight 3303,Hawker Siddeley Trident,"nearˇYangshuo, China",APR,26-Apr-82,36.55308533,103.9754333
144,7,137,0,COM,Independent Air Flight 1851,Boeing 707-331B,"Pico Alto Mtn., Azores, Portugal",APR,8-Feb-89,37.351111,-121.858889
154,8,146,0,COM,Turkish Airlines Flight 452,Boeing 727-2F2,"Isparta, Turkey",APR,19-Sep-76,37.74980164,30.56940079
115,7,108,0,COM,Alitalia Flight 112,McDonnell Douglas DC-8-43,"Cinisi, Sicily, Italy",APR,5-May-72,38.16210175,13.10289955
121,6,115,0,COM,Helios Airways Flight 522,Boeing 737-31S,"Grammatiko, Greece",ENR,14-Aug-05,38.20140076,23.9673996
112,9,103,0,COM,China Northern Airlines Flight 6136,McDonnell Douglas MD-82,"Dalian Bay, China",APR,7-May-02,38.97012711,121.7056198
104,6,98,0,COM,Iberia Airlines Flight 602,Sud Aviation SE 210 Caravelle,"Ibiza, Spain",APR,7-Jan-72,38.97260284,1.416544914
162,7,155,0,COM,All Nippon Airways Flight 58 and,Boeing 727-281ˇandˇF-86 Sabre,"Shizukuishi, Japan",ENR,30-Jul-71,39.68716049,141.0051422
104,6,11,87,COM,Middle East Airlines Flight 265 and,Vickers Viscount 754DˇandDouglas C-47,"Ankara, Turkey",APR and ENR,1-Feb-63,39.94290924,32.86048889
181,19,162,0,COM,Avianca Flight 011,Boeing 747-283B,"Madrid, Spain",APR,27-Nov-83,40.45140076,-3.563149929
154,6,148,0,COM,Spanair Flight 5022,McDonnell Douglas MD-82,"Madrid, Spain",TOF,20-Aug-08,40.45140076,-3.563149929
265,9,251,5,COM,American Airlines Flight 587,Airbus A300B4-605R,"Belle Harbor, New York, US",ENR,12-Nov-01,40.57870865,-73.85101318
132,5,127,0,COM,US Air Flight 427,Boeing 737-3B7,"Aliquippa, Pennsylvania, US",APR,8-Sep-94,40.61774063,-80.24594879
113,6,107,0,COM,Eastern Air Lines Flight 66,Boeing 727-225,"Jamaica, New York, US",APR,24-Jun-75,40.6996994,-73.80809784
134,12,116,6,COM,United Airlines Flight 826 and,Douglas DC-8-21ˇandLockheed L-1049,"New York City, New York, US",APR,16-Dec-60,40.7820015,-73.83270264
230,18,212,0,COM,TWA Flight 800,Boeing 747-131,"Atlantic Ocean, offˇEast Moriches, New York, US",ENR,17-Jul-96,40.80794144,-72.82711792
116,8,108,0,COM,Avioimpex Flight 110,Yakovlev Yak-42D,"Ohrid, Republic of Macedonia",APR,20-Nov-93,41.11750031,20.80211067
112,7,105,0,COM,Dan-Air (G-APDN),de Havilland Comet 4,"Les Agudes Mtn., Spain",ENR,3-Jul-70,41.461143,2.17661
200,9,191,0,COM,Aeroflot Flight 7425,Tupolev Tu-154B-2,"nearˇUchkuduk, Uzbekistan",ENR,10-Jul-85,41.77239227,63.14588928
180,7,173,0,COM,Inex-Adria Aviopromet Flight 1308,McDonnell Douglas MD-81,"Mt. San Pietro,ˇPetreto-Bicchisano, Corsica, France",ENR,1-Dec-81,41.7825,8.97932
273,13,258,2,COM,American Airlines Flight 191,McDonnell Douglas DC-10-10,"Des Plaines, Illinois, US",TOF,25-May-79,42.04199982,-87.88845062
217,15,202,0,COM,EgyptAir Flight 990,Boeing 767-366ER,"Atlantic Ocean, area ofˇNantucket, Massachusetts, US",ENR,31-Oct-99,42.12551498,-71.49861908
156,6,148,2,COM,Northwest Airlines Flight 255,McDonnell Douglas DC-9-82,"Romulus, Michigan, US",TOF,16-Aug-87,42.222229,-83.38535309
111,1,110,0,COM,United Airlines Flight 232,McDonnell Douglas DC-10-10,"Sioux City, Iowa, US",LDG,19-Jul-89,42.49980927,-96.42093658
108,5,103,0,COM,Alitalia Flight 4128,McDonnell Douglas DC-9-32,"Tyrrhenian Sea, offˇPalermo, Italy",APR,23-Dec-78,42.76697922,12.49382305
148,7,141,0,COM,Iberia Airlines Flight 610,Boeing 727-256,"Mt. Oiz, Spain",ENR,19-Feb-85,43.22866821,-2.590035915
166,10,156,0,COM,Aeroflot Flight 4227,Tupolev Tu-154B-2,"Almaty, Kazakhstan",ENR,8-Jul-80,43.25051117,76.88812256
113,8,105,0,COM,Armavia Flight 967,Airbus A320-221,"Black Sea, offˇAdler, Russia",APR,3-May-06,43.43611145,39.93191147
109,8,101,0,COM,Aeroflot Flight 1036,Ilyushin Il-18V,"Black Sea, offˇAdler, Russia",ICL,1-Oct-72,43.43611145,39.93191147
109,9,100,0,COM,Air Canada Flight 621,McDonnell Douglas DC-8-63,"Vaughan, ON., Canada",LDG,5-Jul-70,43.85652924,-79.50760651
118,8,106,4,COM,SAS Flight 686 and,McDonnell Douglas MD-87andˇCessna Citation CJ2,"Milan, Italy",TOF and TXI,8-Oct-01,45.45199966,9.193460464
117,11,106,0,COM,Air India Flight 101,Boeing 707-437,"Mont Blanc massif, France",ENR,24-Jan-66,45.83361053,6.864999771
177,14,162,1,COM,British Airways Flight 476 and,Hawker Siddeley Trident 3Band,"Vrbovec, Croatia",ENR,10-Sep-76,45.88679886,16.41399956
118,7,111,0,COM,Trans-Canada Air Lines Flight 831,Douglas DC-8-54CF,"Sainte-ThÇräse, QC., Canada",ENR,29-Nov-63,46.9015388,-71.2025681
108,4,104,0,COM,Invicta International Airlines Flight 435,Vickers 952 Vanguard,"Reinach, Switzerland",APR,10-Apr-73,47.2492981,8.192110062
123,7,116,0,COM,Varig Flight 820,Boeing 707-320C,"Saulx-les-Chartreux, France",APR,11-Jul-73,48.69660187,2.266750097
178,13,165,0,COM,Aeroflot/Moldovia (CCCP-65816),Tupolev Tu-134Aˇ(both),"area ofˇSaykyn, Kazakhstan",ENR,11-Aug-79,48.817089,48.817089
130,8,122,0,COM,Air France Flight 007,Boeing 707-328,"Paris, France",TOF,3-Jun-62,48.85692978,2.341200113
170,10,160,0,COM,Pulkovo Flight 612,Tupolev Tu-154M,"Novoselivka, Donetsk Obl., Ukraine",ENR,22-Aug-06,48.92656326,31.47578239
122,7,115,0,COM,Aeroflot Flight 1491,Antonov An-10,"nearˇKharkiv, Ukraine",APR,18-May-72,48.92656326,31.47578239
256,8,248,0,COM,Arrow Air Flight 1285,Douglas DC-8-63CF,"Gander, NL., Canada",ICL,12-Dec-85,48.95800018,-54.60649872
113,9,100,4,COM,Air France Flight 4590,AÇrospatiale-BAC Concorde,"Gonesse, France",ICL,25-Jul-00,48.99919891,2.422590017
346,11,335,0,COM,Turkish Airlines Flight 981,McDonnell Douglas DC-10-10,"Fontaine-Chaalis, France",ENR,3-Mar-74,49.16930008,2.68550992
118,9,109,0,COM,British European Airways Flight 548,Hawker Siddeley Trident 1C,"Staines, England, UK",ICL,18-Jun-72,51.43690109,-0.499630004
111,11,100,0,COM,Aeroflot/Armenia Flight 909,Ilyushin Il-18E,"Verkhnyaya Khava,Verkhnekhavsky, Russia",ENR,6-Mar-76,51.83980179,39.94049072
132,8,124,0,COM,Aeroflot Flight 8641,Yakovlev Yak-42,"Mazyr, Belarus",ENR,28-Jun-82,52.04602051,29.26774788
183,11,172,0,COM,LOT Flight 5055,Ilyushin Il-62M,"Warsaw, Poland",ENR[nb 11],9-May-87,52.22874832,21.00625038
156,8,148,0,COM,Interflug (DM-SEA),Ilyushin Il-62,"Kînigs Wusterhausen, Germany",ENR,14-Aug-72,52.2879982,13.62590027
125,5,120,0,COM,Sibir (S7) Airlines Flight 778,Airbus A310-300,"Irkutsk, Russia",LDG,9-Jul-06,52.3082695,104.2391891
124,9,115,1,COM,Baikal Air Flight 130,Tupolev Tu-154,"Irkutsk, Russia",ENR,3-Jan-94,52.3082695,104.2391891
120,?,?,0,COM,Aeroflot Flight 831,Ilyushin Il-14MˇandˇAntonov An-12BP,"Poroslitsy,ˇYukhnovsky, Russia",ENR,23-Jun-69,54.5807991,35.5942688
178,5,169,4,COM,Aeroflot Flight 3352,Tupolev Tu-154,"Omsk, Russia",LDG,11-Oct-84,54.99414063,73.36470795
101,9,92,0,COM,Aeroflot (CCCP-74298),Ilyushin Il-18V,"near Spassky,ˇVerkhneuralsky, Russia",ENR,31-Aug-72,55,49.5
101,6,95,0,COM,Northwest Orient Airlines Flight 293,Douglas DC-7CF,"Pacific Ocean, area ofˇAnnette Island, Alaska, US",ENR,3-Jun-63,55.13947296,-131.4958801
122,8,114,0,COM,Aeroflot Flight 964,Tupolev Tu-104B,"Domodedovo, Russia",APR,13-Oct-73,55.43939972,37.76626968
174,10,164,0,COM,Aeroflot Flight 217,Ilyushin Il-62,"Moscow, Russia",APR,13-Oct-72,55.75696945,37.61502075
107,8,99,0,COM,Aeroflot Flight 2230,Ilyushin Il-18V,"Aramil, Russia",ICL,16-Nov-67,56.69504166,60.8339386
108,8,100,0,COM,Aeroflot Flight 3932,Tupolev Tu-104,"Yekaterinburg, Russia",ICL,30-Sep-73,56.83768845,60.59780884
145,9,136,0,COM,Vladivostok Air Flight 352,Tupolev Tu-154M,"near Budaro,ˇIrkutsk, Russia",APR,4-Jul-01,57.0981369,106.3675079
109,7,102,0,COM,Aeroflot (CCCP-75559),Ilyushin Il-18V,"Shushary, Russia",APR,27-Apr-74,59.80968094,30.37895012
111,7,104,0,COM,Alaska Airlines Flight 1866,Boeing 727-100,"nearˇJuneau, Alaska, US",APR,4-Sep-71,63.12362289,-154.3052063
110,7,103,0,COM,Aeroflot (CCCP-85338),Tupolev 154B-2,"Yemelyanovo,ˇYemelyanovsky, Russia",ENR,23-Dec-84,63.12518692,103.7539825
141,11,130,0,COM,Vnukovo Airlines Flight 2801,Tupolev Tu-154M,"Svalbard, Norway",APR,29-Aug-96,78.12931061,20.0970459
228,12,216,0,COM,Air France Flight 447,Airbus A330-203,"Atlantic Ocean, area ofˇSao Pedro and Sao Paulo Islands",ENR,1-Jun-09,0.918154,-29.34277
229,14,215,0,COM,Swissair Flight 111,McDonnell Douglas MD-11,"Atlantic Ocean, offˇPeggys Cove, N.S., Canada",ENR,2-Sep-98,44.495209,-63.914661
99,4,95,0,COM,Aeroflot (CCCP-85480),Tupolev Tu-154B-2,"nearˇNorilsk, Russia",APR,16-Nov-81,,
101,7,94,0,COM,Eastern Air Lines Flight 401,Lockheed L-1011-385-1 TriStar 1,"Everglades, nearˇTamiami, Florida, US",APR,29-Dec-72,,
99,8,91,0,COM,KLM Flight 607E,Lockheed L-1049,"Atlantic Ocean, area ofˇShannon, Ireland",ENR,14-Aug-58,,
98,8,90,0,COM,Khabarovsk United Air Flight 3949,Tupolev Tu-154B,"area of Grossevichi,ˇKhabarovsk Krai, Russia",ENR,12-Dec-95,,
98,6,92,0,COM,Britannia Airways Flight 105,Bristol 175 Britannia 102,"Komenda, Slovenia",APR,1-Sep-66,,
97,10,87,0,COM,Pan Am Flight 806,Boeing 707-321B,"Pago Pago, American Samoa",APR,30-Jan-74,,
97,4,93,0,COM,Aeroflot (CCCP-42405),Tupolev Tu-104B,"Irkutsk, Russia",APR,25-Jul-71,,
97,17,80,0,COM,Varig Flight 810,Boeing 707-441,"La Cruz peak,ˇSan Juan de Miraflores, Peru",APR,27-Nov-62,,
96,4,92,0,COM,ADC Airlines Flight 53,Boeing 737-2B7,"Abuja, Nigeria",ICL,29-Oct-06,,
96,6,90,0,COM,Aeroflot (CCCP-42369),Tupolev Tu-104A,"Almaty, Kazakhstan",APR,13-Jan-77,,
95,6,89,0,COM,Indian Airlines Flight 171,Sud Aviation SE-210 Caravelle VIN,"Mumbai, India",APR,12-Oct-76,,
95,8,87,0,COM,American Airlines Flight 1,Boeing 707-123B,"Jamaica Bay, New York, US",ICL,1-Mar-62,,
94,7,87,0,COM,TAME Flight 120,Boeing 727-134,"Cumbal Vol., Colombia",APR,28-Jan-02,,
94,12,82,0,COM,Aeroflot Flight 8381 and,Tupolev Tu-134ˇandˇAntonov An-26,"Zolochiv, Ukraine",APR and ENR,3-May-85,,
94,9,85,0,COM,Alitalia Flight 771,McDonnell Douglas DC-8-43,"Junnar, India",ENR,7-Jul-62,,
93,6,87,0,COM,Iberia Flight 350 and,Boeing 727ˇandˇMcDonnell Douglas DC-9,"Madrid, Spain",TOF and TXI,7-Dec-83,,
92,4,88,0,COM,Indian Airlines Flight 605,Airbus A320-231,"Bangalore, India",APR,14-Feb-90,,
92,7,85,0,COM,TWA Flight 514,Boeing 727-231,"Mt. Weather, Virginia, US",APR,1-Dec-74,,
92,7,85,0,COM,Aeroflot (CCCP-75798),Ilyushin Il-18V,"Bulungur, Uzbekistan",ENR,6-Feb-70,,
91,3,0,88,COM,Lloyd AÇreo Boliviano (N730JP),Boeing 707-131F,"Santa Cruz, Bolivia",ICL,13-Oct-76,,
91,6,85,0,COM,LANSA Flight 508,Lockheed L-188 Electra,"Puerto Inca, Peru",ENR,24-Dec-71,,
90,8,82,0,COM,Ethiopian Airlines Flight 409,Boeing 737-8AS,"Mediterranean Sea, offˇNa'ameh, Lebanon",ICL,25-Jan-10,,
90,5,85,0,COM,One-Two-GO Airlines Flight 269,McDonnell Douglas MD-82,"Phuket, Thailand",LDG,16-Sep-07,,
90,7,83,0,COM,Aeroflot (CCCP-65129),Tupolev Tu-134A,"nearˇAlmaty, Kazakhstan",APR,30-Aug-83,,
90,8,82,0,COM,Aeroflot Flight 411,Ilyushin Il-62M,"Mendeleyevo, Russia",ICL,6-Jul-82,,
90,5,85,0,COM,Olympic Airways Flight 954,Douglas DC-6,"Keratea, Greece",APR,8-Dec-69,,
88,6,82,0,COM,Aeroflot-Nord Flight 821,Boeing 737-505,"Perm, Russia",APR,14-Sep-08,,
88,5,83,0,COM,Alaska Airlines Flight 261,McDonnell Douglas MD-83,"Pacific Ocean, offˇAnacapa Island, California, US",ENR,31-Jan-00,,
88,6,82,0,COM,Delta Air Lines Flight 723,McDonnell Douglas DC-9-31,"Boston, Massachusetts, US",APR,31-Jul-73,,
88,5,83,0,COM,Air Ferry C-54 (G-APYK),Douglas C-54A-1-DC Skymaster,"Mont Canigou, France",ENR,3-Jun-67,,
87,5,82,0,COM,Air Inter Flight 148,Airbus A320-111,"Barr, France",APR,20-Jan-92,,
93,6,87,0,COM,Aerovias Guatemala Caravelle (HC-BAE),Sud Aviation SE-210 Caravelle III,"Flores, Guatemala",APR,18-Jan-86,,
87,10,77,0,COM,LOT Polish Airlines Flight 007,Ilyushin Il-62,"Warsaw, Poland",APR,14-Mar-80,,
87,11,76,0,COM,Nigeria Airways Flight 825,Vickers VC-10,"Lagos, Nigeria",APR,20-Nov-69,,
87,7,80,0,COM,LAN Chile Flight 107,Douglas DC-6,"San JosÇ Vol., Chile",ENR,6-Feb-65,,
87,9,78,0,COM,Aeroflot Flight 721,Ilyushin Il-18V,"nearˇYuzhno-Sakhalinsk, Russia",APR,2-Sep-64,,
86,6,79,1,COM,Aviaco Flight 118,Sud Aviation SE 210 Caravelle 10R,"A Coru§a, Spain",APR,13-Aug-73,,
86,7,79,0,COM,Aeroflot Flight 03,Tupolev Tu-104A,"nearˇYelabuga, Tatarstan, Russia",ENR,3-Sep-62,,
85,6,79,0,COM,Tajikistan Airlines Flight 3183,Tupolev Tu-154B-1,"Sharjah, United Arab Emirates",APR,15-Dec-97,,
85,10,72,3,COM,Japan Airlines Flight 471,Douglas DC-8-53,"nearˇNew Delhi, India",APR,14-Jun-72,,
85,5,80,0,COM,Braniff Flight 352,Lockheed L-188A Electra,"Dawson, Texas, US",ENR,3-May-68,,
85,4,81,0,COM,Paradise Airlines Flight 901A,Lockheed L-049 Constellation,"Genoa, Nevada, US",ENR,1-Mar-64,,
84,7,77,0,COM,Aeroflot (CCCP-65058),Tupolev Tu-134A,"Andreevo,ˇIvanovo, Russia",APR,27-Aug-92,,
84,5,79,0,COM,Eastern Air Lines Flight 663,Douglas DC-7B,"Atlantic Ocean, offˇJones Beach, New York, US",ENR,8-Feb-65,,
83,4,79,0,COM,Singapore Airlines Flight 006,Boeing 747-412,"Dayuan, Taiwan, China",TOF,31-Oct-00,,
83,4,79,0,COM,Palair Macedonian Airlines Flight 301,Fokker 100,"Petrovec, Republic of Macedonia",ICL,5-Mar-93,,
83,9,74,0,COM,Thai Airways Flight 365,Boeing 737-2P5,"Phuket, Thailand",APR,31-Aug-87,,
83,5,78,0,COM,Allegheny Airlines Flight 853 and,McDonnell Douglas DC-9-30andˇPiper PA-28 Cherokee,"Fairland, Indiana, US",ENR,9-Sep-69,,
83,9,74,0,COM,Aeroflot Flight 15,Ilyushin Il-18D,"Parchum,ˇChunsky, Russia",ENR,29-Feb-68,,
83,5,78,0,COM,American Flyers Flight 280,Lockheed L-188 Electra,"Ardmore, Oklahoma, US",APR,22-Apr-66,,
83,8,75,0,COM,British Eagle International Airlines Flight 802,Bristol 175 Britannia 312,"Glungezer Mtn., Austria",ENR,29-Feb-64,,
83,6,77,0,COM,President Airlines (N90773),Douglas DC-6B,"Shannon, Ireland",ICL,10-Sep-61,,
82,5,77,0,COM,Tajikistan Airlines (87995),Yakovlev Yak-40,"Khorog, Tajikistan",TOF,28-Aug-93,,
82,7,60,15,COM,AeromÇxico Flight 498ˇandˇPrivate aircraft (N4891F),McDonnell Douglas DC-9-32andˇPiper PA-28-181 Archer,"Cerritos, California, US",APR,31-Aug-86,,
82,6,76,0,COM,Piedmont Airlines Flight 22 and,Boeing 727-22ˇandˇCessna 310,"Hendersonville, North Carolina, US",ENR,19-Jul-67,,
82,8,74,0,COM,TABSO Flight 101,Ilyushin Il-18B,"Bratislava, Slovakia",ENR,24-Nov-66,,
81,8,73,0,COM,Pan Am Flight 214,Boeing 707-121,"Elkton, Maryland, US",APR,8-Dec-63,,
81,7,74,0,COM,Aeroflot Flight 415,Antonov An-10A,"Kholodnaia Rechka,ˇGagra, Abkhazia",APR,28-Jul-62,,
80,14,56,10,COM,Cubana de Aviaci¢n Flight 389,Tupolev Tu-154M,"Quito, Ecuador",TOF,29-Aug-98,,
80,4,76,0,COM,Air Mauritanie Flight 625,Fokker F-28 Fellowship 4000,"Tidjikja, Mauritania",LDG,1-Jul-94,,
80,4,76,0,COM,Fuerza AÇrea Colombiana (FAC-902),Douglas DC-6B,"nearˇLeticia, Colombia",ENR,24-Jul-85,,
80,7,73,0,COM,Union de Transportes AÇriens (F-BHMS),Douglas DC-6B,"Mt. Alcazaba, Spain",ENR,2-Oct-64,,
80,6,74,0,COM,Swissair Flight 306,Sud Aviation SE-210 Caravelle III,"DÅrrenÑsch, Switzerland",ENR,4-Sep-63,,
80,7,73,0,COM,World Airways Flight 830,Douglas DC-6A,"Mt. Barrigada, nearˇBarrigada, Guam, US",ENR,19-Sep-60,,
80,9,71,0,COM,Aeroflot (CCCP-42362),Tupolev Tu-104A,"Vurnarsky, Chuvashia, Russia",ENR,17-Oct-58,,
80,5,75,0,COM,Fairflight (G-AKBY),Avro 689 Tudor V,"Sigingstone, Wales, UK",APR,12-Mar-50,,
79,3,72,4,COM,Korean Air Flight 803,McDonnell Douglas DC-10-30,"Tripoli, Libya",APR,27-Jul-89,,
79,7,72,0,COM,Aeroflot (CCCP-75712),Ilyushin Il-18V,"nearˇKhujand, Tajikistan",ENR,24-Feb-73,,
79,7,72,0,COM,Mexicana Flight 704,Boeing 727-64,"El Carmen, Mexico",ENR,4-Jun-69,,
79,6,73,0,COM,Maritime Central Airways (CF-MCF),Douglas DC-4,"Issoudun, QC., Canada",ENR,11-Aug-57,,
78,4,70,4,COM,Air Florida Flight 90,Boeing 737-222,"Washington, D.C., US",ICL,13-Jan-82,,
78,10,68,0,COM,Pan Am Flight 816,Boeing 707-321B,"Pacific Ocean, offˇPapeete, Tahiti, French Polynesia",ENR,22-Jul-73,,
78,3,75,0,COM,Wenela Air Services (A2-ZER),Douglas DC-4,"Francistown, Botswana",APR,4-Apr-74,,
78,3,75,0,COM,Aviogenex Flight 130,Tupolev Tu-134A,"Omi?alj, Croatia",LDG,23-May-71,,
78,5,73,0,COM,TWA Flight 529,Lockheed L-049 Constellation,"Hinsdale, Illinois, US",ENR,1-Sep-61,,
77,5,72,0,COM,Hewa Bora Airways Flight 952,Boeing 727-022,"Kisangani, DR Congo",LDG,8-Jul-11,,
77,10,67,0,COM,Iran Air Flight 277,Boeing 727-286Adv,"Urmia, Iran",APR,9-Jan-11,,
77,7,70,0,COM,Aeroflot (CCCP-75520),Ilyushin Il-18V,"nearˇMineralnye Vody, Russia",APR,15-Feb-77,,
77,6,71,0,COM,Air France Flight 2005,Sud Aviation SE-210 Caravelle III,"Rabat, Morocco",APR,12-Sep-61,,
76,6,70,0,COM,?SA Flight 001,Ilyushin Il-18B,"Bratislava, Slovakia",APR,28-Jul-76,,
76,2,74,0,COM,Imperial Airlines Flight 201/8,Lockheed L-049 Constellation,"Richmond, Virginia, US",APR,8-Nov-61,,
75,13,62,0,COM,UM Flight 4230,Yakovlev Yak-42,"Maáka, Trabzon, Turkey",APR,26-May-03,,
75,5,70,0,COM,Turkish Airlines Flight 634,Avro RJ100,"Diyarbak?r, Turkey",APR,8-Jan-03,,
75,6,69,0,COM,Peruvian Air Force (FAP-351),Boeing 737-282,"Andoas, Peru",ENR,5-May-98,,
75,12,63,0,COM,Aeroflot Flight 593,Airbus A310-304,"nearˇMezhdurechensk, Russia",ENR,23-Mar-94,,
75,3,73,0,COM,Vietnam Airlines Flight 831,Tupolev Tu-134,"Lam Luk Ka, Thailand",APR,9-Sep-88,,
75,4,71,0,COM,Inex-Adria Aviopromet Flight 450,McDonnell Douglas DC-9-32,"Prague, Czech Republic",APR,30-Oct-75,,
75,6,69,0,COM,Avensa Flight 358,McDonnell Douglas DC-9-14,"nearˇMatur°n, Venezuela",ENR,22-Dec-74,,
75,4,71,0,COM,Southern Airways Flight 932,McDonnell Douglas DC-9-31,"Ceredo, West Virginia, US",APR,14-Nov-70,,
74,5,69,0,COM,Austral L°neas AÇreas Flight 2553,McDonnell Douglas DC-9-32,"nearˇNuevo Berlin, Uruguay",ENR,10-Oct-97,,
74,5,69,0,COM,Lloyd AÇreo Boliviano (CP-698),Douglas DC-6B,"Mt. Choquetanga,ˇCordillera Kimsa Cruz, Bolivia",ENR,26-Sep-69,,
74,10,64,0,COM,Linea Aeropostal Venezolana Flight 253,Lockheed L-1049 Super Constellation,"New York Bight, Atlantic Ocean, area ofˇJones Beach, New York, US",ENR,20-Jun-56,,
